os --> olhos -|- 97
o --> anno -|- 7
não --> ter -|- 7
não --> póde -|- 7
nossa --> casa -|- 7
no --> sentido -|- 7
no --> corredor -|- 7
no --> chão -|- 7
nem --> as -|- 7
na --> mesma -|- 7
mãe --> não -|- 7
mãe --> era -|- 7
muito --> e -|- 7
mas --> um -|- 7
mas --> nem -|- 7
mal --> que -|- 7
já --> não -|- 7
já --> lhe -|- 7
isso --> mesmo -|- 7
grande --> e -|- 7
fosse --> a -|- 7
forth --> in -|- 7
foi --> só -|- 7
foi --> a -|- 7
favor --> de -|- 7
estava --> na -|- 7
eram --> os -|- 7
elle --> e -|- 7
e --> logo -|- 7
e --> ia -|- 7
do --> padre -|- 7
do --> not -|- 7
do --> mar -|- 7
do --> homem -|- 7
do --> dia -|- 7
do --> aggregado -|- 7
disse --> ella -|- 7
depois --> do -|- 7
de --> visitas -|- 7
de --> ver -|- 7
de --> tudo -|- 7
de --> outra -|- 7
de --> entrar -|- 7
de --> dizer -|- 7
de --> costume -|- 7
de --> casa -|- 7
dar --> a -|- 7
com --> tal -|- 7
bem --> e -|- 7
as --> pernas -|- 7
as --> duas -|- 7
apesar --> do -|- 7
annos --> de -|- 7
ainda --> assim -|- 7
achei --> que -|- 7
a --> si -|- 7
a --> razão -|- 7
a --> pouco -|- 7
a --> opinião -|- 7
a --> lingua -|- 7
a --> historia -|- 7
a --> familia -|- 7
Uma --> vez -|- 7
Tambem --> não -|- 7
Se --> eu -|- 7
Não --> sei -|- 7
Não --> se -|- 7
Gutenberg-tm --> License -|- 7
Escobar --> que -|- 7
Ao --> contrario -|- 7
Ao --> cabo -|- 7
Antes --> de -|- 7
de --> um -|- 69
de --> Capitú -|- 68
para --> o -|- 65
que --> lhe -|- 62
e --> não -|- 62
que --> é -|- 61
que --> os -|- 61
com --> o -|- 60
é --> mais -|- 6
é --> cheia -|- 6
é --> bom -|- 6
á --> noite -|- 6
work --> or -|- 6
voz --> de -|- 6
ver --> o -|- 6
uma --> senhora -|- 6
uma --> palavra -|- 6
uma --> moça -|- 6
um --> velho -|- 6
um --> dos -|- 6
the --> full -|- 6
tal --> ponto -|- 6
só --> para -|- 6
só --> me -|- 6
si --> e -|- 6
ser --> o -|- 6
se --> lembra -|- 6
se --> era -|- 6
saber --> o -|- 6
rua --> de -|- 6
quiz --> que -|- 6
que --> podia -|- 6
que --> nunca -|- 6
que --> no -|- 6
que --> nem -|- 6
que --> isto -|- 6
que --> este -|- 6
que --> José -|- 6
provavel --> que -|- 6
porque --> não -|- 6
porque --> a -|- 6
por --> ella -|- 6
pedir --> a -|- 6
parece --> que -|- 6
para --> um -|- 6
para --> outro -|- 6
para --> lhe -|- 6
os --> versos -|- 6
os --> mesmos -|- 6
olhou --> para -|- 6
o --> texto -|- 6
o --> principal -|- 6
o --> não -|- 6
o --> dia -|- 6
o --> de -|- 6
o --> ar -|- 6
não --> seria -|- 6
não --> quero -|- 6
não --> o -|- 6
não --> disse -|- 6
noite --> e -|- 6
no --> quintal -|- 6
nem --> os -|- 6
nem --> o -|- 6
muito --> mas -|- 6
muito --> mais -|- 6
mim --> a -|- 6
mesmo --> que -|- 6
mas --> se -|- 6
mas --> com -|- 6
logo --> a -|- 6
latim --> e -|- 6
isto --> mesmo -|- 6
gostava --> de -|- 6
fez --> um -|- 6
falar --> a -|- 6
eu --> ia -|- 6
eu --> fosse -|- 6
eu --> a -|- 6
era --> só -|- 6
entrar --> em -|- 6
ella --> me -|- 6
e --> só -|- 6
e --> ella -|- 6
e --> das -|- 6
e --> como -|- 6
e --> com -|- 6
dous --> annos -|- 6
dos --> outros -|- 6
dos --> Invalidos -|- 6
doce --> e -|- 6
do --> poço -|- 6
do --> livro -|- 6
disse-lhe --> que -|- 6
disse --> a -|- 6
dia --> de -|- 6
deste --> mundo -|- 6
dentro --> da -|- 6
delle --> e -|- 6
deixar --> de -|- 6
de --> todos -|- 6
de --> papel -|- 6
de --> padre -|- 6
de --> meu -|- 6
de --> casar -|- 6
de --> cabeça -|- 6
das --> suas -|- 6
das --> pessoas -|- 6
das --> minhas -|- 6
dar --> um -|- 6
da --> outra -|- 6
da --> mesma -|- 6
da --> manhã -|- 6
da --> janella -|- 6
da --> egreja -|- 6
da --> cidade -|- 6
copies --> of -|- 6
como --> uma -|- 6
começou --> a -|- 6
com --> minha -|- 6
chegou --> a -|- 6
cada --> um -|- 6
cabo --> de -|- 6
assim --> como -|- 6
as --> pessoas -|- 6
as --> cousas -|- 6
aos --> meus -|- 6
ao --> fim -|- 6
ao --> enterro -|- 6
ao --> capitulo -|- 6
antes --> que -|- 6
agree --> to -|- 6
a --> vontade -|- 6
a --> vocação -|- 6
a --> todos -|- 6
a --> noticia -|- 6
a --> licção -|- 6
a --> este -|- 6
a --> ella -|- 6
a --> egreja -|- 6
Tambem --> eu -|- 6
Santa --> Monica -|- 6
S --> José -|- 6
Quanto --> ao -|- 6
Quando --> eu -|- 6
Pois --> sim -|- 6
Panegyrico --> de -|- 6
Não --> era -|- 6
Mas --> que -|- 6
Ha --> de -|- 6
E --> que -|- 6
E --> o -|- 6
Dom --> Casmurro -|- 6
Dias --> não -|- 6
Deus --> é -|- 6
Cheguei --> a -|- 6
Capitú --> Não -|- 6
A --> verdade -|- 6
A --> minha -|- 6
em --> que -|- 59
não --> é -|- 57
não --> me -|- 57
eu --> não -|- 57
mais --> que -|- 55
que --> elle -|- 54
Project --> Gutenberg-tm -|- 54
o --> meu -|- 53
não --> era -|- 53
mas --> não -|- 53
É --> uma -|- 5
«Tu --> serás -|- 5
você --> é -|- 5
vida --> e -|- 5
vida --> de -|- 5
vez --> de -|- 5
ver --> que -|- 5
uma --> só -|- 5
uma --> pessoa -|- 5
uma --> grande -|- 5
um --> só -|- 5
um --> padre -|- 5
tão --> depressa -|- 5
tres --> mezes -|- 5
todo --> o -|- 5
tinha --> os -|- 5
tinha --> o -|- 5
the --> Foundation -|- 5
ter --> com -|- 5
tempo --> e -|- 5
tambem --> se -|- 5
tambem --> o -|- 5
tambem --> a -|- 5
tal --> ou -|- 5
só --> os -|- 5
serás --> feliz -|- 5
ser --> a -|- 5
senhora --> não -|- 5
saber --> que -|- 5
saber --> de -|- 5
retrato --> de -|- 5
resto --> do -|- 5
queria --> dizer -|- 5
que --> vinha -|- 5
que --> veiu -|- 5
que --> tive -|- 5
que --> tem -|- 5
que --> queria -|- 5
que --> quando -|- 5
que --> apenas -|- 5
quasi --> a -|- 5
quando --> elle -|- 5
quando --> a -|- 5
primeira --> vez -|- 5
pouco --> tempo -|- 5
possivel --> que -|- 5
por --> ser -|- 5
por --> causa -|- 5
por --> alguns -|- 5
pelo --> corredor -|- 5
para --> ver -|- 5
para --> traz -|- 5
para --> si -|- 5
para --> dentro -|- 5
pae --> e -|- 5
outro --> e -|- 5
ou --> só -|- 5
ou --> qual -|- 5
ou --> a -|- 5
os --> labios -|- 5
os --> della -|- 5
or --> any -|- 5
olhei --> para -|- 5
olhava --> para -|- 5
olhar --> para -|- 5
olhando --> para -|- 5
o --> ultimo -|- 5
o --> titulo -|- 5
o --> prazer -|- 5
o --> papel -|- 5
o --> livro -|- 5
o --> doutor -|- 5
o --> diabo -|- 5
o --> braço -|- 5
não --> vale -|- 5
não --> tenho -|- 5
não --> quiz -|- 5
nos --> olhos -|- 5
nos --> livros -|- 5
no --> gabinete -|- 5
no --> coração -|- 5
no --> ar -|- 5
neste --> mundo -|- 5
nem --> por -|- 5
nada --> a -|- 5
na --> vida -|- 5
na --> minha -|- 5
na --> casa -|- 5
mostrar --> que -|- 5
minha --> casa -|- 5
meu --> visinho -|- 5
mesmo --> e -|- 5
melhor --> é -|- 5
me --> pareceu -|- 5
me --> esqueceu -|- 5
mas --> que -|- 5
mas --> ha -|- 5
mas --> então -|- 5
mana --> Gloria -|- 5
livro --> de -|- 5
lado --> para -|- 5
isto --> me -|- 5
ir --> ver -|- 5
ideia --> que -|- 5
hão --> de -|- 5
for --> the -|- 5
foi --> um -|- 5
fim --> do -|- 5
eu --> queria -|- 5
eu --> me -|- 5
este --> livro -|- 5
especie --> de -|- 5
era --> natural -|- 5
era --> muito -|- 5
era --> melhor -|- 5
era --> como -|- 5
era --> ainda -|- 5
então --> que -|- 5
entrei --> na -|- 5
entrei --> a -|- 5
entre --> nós -|- 5
entre --> mim -|- 5
entrar --> na -|- 5
em --> tal -|- 5
em --> minha -|- 5
em --> cima -|- 5
ella --> com -|- 5
e --> tinha -|- 5
e --> quiz -|- 5
e --> pura -|- 5
e --> prima -|- 5
e --> disse-me -|- 5
e --> disse -|- 5
e --> corri -|- 5
e --> ainda -|- 5
dous --> mezes -|- 5
dos --> pés -|- 5
do --> pallio -|- 5
do --> marido -|- 5
do --> Padua -|- 5
dizia --> que -|- 5
dizer --> o -|- 5
dia --> em -|- 5
desejo --> de -|- 5
desde --> que -|- 5
depois --> mas -|- 5
dentro --> de -|- 5
de --> você -|- 5
de --> vir -|- 5
de --> ter -|- 5
de --> sair -|- 5
de --> ouro -|- 5
de --> os -|- 5
de --> não -|- 5
de --> muito -|- 5
de --> memoria -|- 5
de --> longe -|- 5
de --> latim -|- 5
de --> falar -|- 5
de --> dar -|- 5
de --> costas -|- 5
de --> a -|- 5
de --> Janeiro -|- 5
das --> palavras -|- 5
das --> outras -|- 5
da --> visinhança -|- 5
da --> vespera -|- 5
da --> sua -|- 5
da --> praia -|- 5
da --> mulher -|- 5
da --> cama -|- 5
curiosidades --> de -|- 5
crer --> que -|- 5
cousa --> e -|- 5
costume --> e -|- 5
como --> é -|- 5
como --> que -|- 5
com --> grande -|- 5
com --> ellas -|- 5
cheguei --> a -|- 5
ceu --> que -|- 5
casa --> que -|- 5
casa --> era -|- 5
casa --> do -|- 5
cada --> vez -|- 5
até --> á -|- 5
assim --> tambem -|- 5
assim --> não -|- 5
assim --> a -|- 5
as --> mesmas -|- 5
ar --> de -|- 5
aos --> seus -|- 5
aos --> outros -|- 5
ao --> coração -|- 5
andando --> e -|- 5
amiga --> e -|- 5
algum --> dia -|- 5
agora --> não -|- 5
a --> uma -|- 5
a --> segunda -|- 5
a --> saber -|- 5
a --> pé -|- 5
a --> propria -|- 5
a --> noite -|- 5
a --> missa -|- 5
a --> materia -|- 5
a --> mamãe -|- 5
a --> justiça -|- 5
a --> esta -|- 5
a --> esperança -|- 5
a --> distancia -|- 5
a --> denuncia -|- 5
a --> de -|- 5
a --> batalha -|- 5
a --> andar -|- 5
a --> alegria -|- 5
a --> Roma -|- 5
a --> José -|- 5
a --> Escobar -|- 5
Um --> dos -|- 5
Tinha --> o -|- 5
Tambem --> se -|- 5
Rio --> de -|- 5
Padre --> Cabral -|- 5
Não --> ha -|- 5
Não --> foi -|- 5
Não --> disse -|- 5
Não --> digo -|- 5
Não --> Bentinho -|- 5
No --> dia -|- 5
Mas --> o -|- 5
Eu --> não -|- 5
Era --> uma -|- 5
E --> não -|- 5
Capitú --> ia -|- 5
Capitú --> estava -|- 5
Capitú --> a -|- 5
A --> casa -|- 5
para --> a -|- 47
de --> uma -|- 47
de --> minha -|- 46
da --> minha -|- 46
como --> se -|- 45
ha --> de -|- 44
não --> se -|- 43
que --> ella -|- 42
de --> mim -|- 41
mas --> a -|- 40
é --> tambem -|- 4
é --> para -|- 4
é --> outra -|- 4
é --> isto -|- 4
é --> em -|- 4
é --> de -|- 4
é --> bonita -|- 4
ás --> suas -|- 4
á --> nossa -|- 4
á --> Europa -|- 4
you --> must -|- 4
you --> can -|- 4
works --> in -|- 4
work --> is -|- 4
work --> in -|- 4
with --> this -|- 4
volta --> de -|- 4
vir --> a -|- 4
vim --> a -|- 4
vida --> é -|- 4
vespera --> e -|- 4
verdade --> não -|- 4
velho --> Padua -|- 4
use --> of -|- 4
uma --> ou -|- 4
um --> ou -|- 4
um --> livro -|- 4
um --> grande -|- 4
um --> e -|- 4
um --> coração -|- 4
um --> com -|- 4
um --> ar -|- 4
um --> anjo -|- 4
tudo --> para -|- 4
tudo --> isto -|- 4
tornei --> a -|- 4
the --> laws -|- 4
the --> copyright -|- 4
terra --> e -|- 4
ter --> commigo -|- 4
ter --> a -|- 4
tanto --> mais -|- 4
só --> por -|- 4
só --> a -|- 4
são --> os -|- 4
são --> bellas -|- 4
sim --> senhor -|- 4
si --> mesma -|- 4
servir --> a -|- 4
seria --> o -|- 4
sempre --> que -|- 4
seis --> mezes -|- 4
se --> você -|- 4
sair --> do -|- 4
sabe --> que -|- 4
rua --> e -|- 4
respondeu --> que -|- 4
queria --> ver -|- 4
que --> trazia -|- 4
que --> seria -|- 4
que --> quer -|- 4
que --> ouvira -|- 4
que --> ouvi -|- 4
que --> ninguem -|- 4
que --> na -|- 4
que --> fizera -|- 4
que --> em -|- 4
que --> disse -|- 4
que --> ao -|- 4
que --> Escobar -|- 4
quando --> me -|- 4
póde --> muito -|- 4
protected --> by -|- 4
preto --> que -|- 4
prazer --> que -|- 4
pouco --> mas -|- 4
porém --> que -|- 4
porque --> os -|- 4
por --> ventura -|- 4
por --> que -|- 4
por --> onde -|- 4
por --> elle -|- 4
pediu-me --> que -|- 4
para --> fóra -|- 4
palavras --> e -|- 4
ouvi --> o -|- 4
outros --> e -|- 4
ou --> quatro -|- 4
ou --> outra -|- 4
ou --> o -|- 4
ou --> menos -|- 4
os --> ultimos -|- 4
os --> sonhos -|- 4
os --> que -|- 4
os --> louvores -|- 4
os --> livros -|- 4
os --> lados -|- 4
os --> gestos -|- 4
os --> dias -|- 4
os --> beiços -|- 4
os --> annos -|- 4
or --> other -|- 4
olhos --> no -|- 4
olhos --> a -|- 4
of --> a -|- 4
o --> sol -|- 4
o --> sentido -|- 4
o --> penteado -|- 4
o --> passo -|- 4
o --> marido -|- 4
o --> logar -|- 4
o --> lado -|- 4
o --> desejo -|- 4
o --> contrario -|- 4
não --> vi -|- 4
não --> tem -|- 4
não --> são -|- 4
não --> que -|- 4
não --> está -|- 4
não --> creio -|- 4
não --> achava -|- 4
not --> protected -|- 4
nosso --> Bentinho -|- 4
nossa --> separação -|- 4
no --> primeiro -|- 4
no --> mundo -|- 4
no --> ceu -|- 4
no --> bolso -|- 4
nada --> e -|- 4
na --> cabeça -|- 4
mãos --> e -|- 4
mão --> e -|- 4
muito --> de -|- 4
modo --> que -|- 4
missa --> nova -|- 4
minha --> alma -|- 4
mim --> que -|- 4
mim --> com -|- 4
mestre --> de -|- 4
mesmo --> tempo -|- 4
meio --> termo -|- 4
me --> deixou -|- 4
mas --> tão -|- 4
mas --> só -|- 4
mas --> póde -|- 4
mas --> já -|- 4
mais --> ou -|- 4
mais --> e -|- 4
mais --> do -|- 4
logo --> depois -|- 4
lhe --> dar -|- 4
ler --> o -|- 4
lembrança --> do -|- 4
leis --> são -|- 4
laws --> of -|- 4
já --> a -|- 4
ir --> para -|- 4
ir --> commigo -|- 4
instantes --> de -|- 4
in --> paragraph -|- 4
ideia --> sem -|- 4
ideia --> da -|- 4
homem --> e -|- 4
gosto --> de -|- 4
gente --> que -|- 4
full --> Project -|- 4
foi --> que -|- 4
filho --> e -|- 4
filho --> do -|- 4
filho --> de -|- 4
falava --> de -|- 4
falar --> de -|- 4
eu --> tambem -|- 4
esta --> ideia -|- 4
eram --> as -|- 4
era --> para -|- 4
era --> homem -|- 4
era --> de -|- 4
era --> capaz -|- 4
entrou --> a -|- 4
entre --> as -|- 4
enfiei --> pelo -|- 4
em --> vez -|- 4
ella --> é -|- 4
ella --> e -|- 4
e --> perguntou-me -|- 4
e --> nos -|- 4
e --> naturalmente -|- 4
e --> fui -|- 4
e --> ficámos -|- 4
e --> era -|- 4
e --> antes -|- 4
e --> agora -|- 4
dos --> olhos -|- 4
do --> quarto -|- 4
do --> nosso -|- 4
do --> mundo -|- 4
do --> coração -|- 4
do --> carro -|- 4
do --> Engenho -|- 4
dizer --> a -|- 4
distribution --> of -|- 4
disse --> nada -|- 4
disse --> isto -|- 4
digo --> que -|- 4
desta --> vez -|- 4
depressa --> e -|- 4
depois --> da -|- 4
denuncia --> de -|- 4
dei --> com -|- 4
de --> vista -|- 4
de --> verdade -|- 4
de --> theatro -|- 4
de --> sua -|- 4
de --> se -|- 4
de --> saber -|- 4
de --> rir -|- 4
de --> lá -|- 4
de --> jantar -|- 4
de --> haver -|- 4
de --> familia -|- 4
de --> edade -|- 4
de --> dous -|- 4
de --> creança -|- 4
das --> nossas -|- 4
das --> casas -|- 4
daqui --> a -|- 4
da --> noite -|- 4
da --> mesa -|- 4
da --> Europa -|- 4
cá --> fóra -|- 4
cousa --> de -|- 4
copyright --> law -|- 4
contra --> a -|- 4
comply --> with -|- 4
como --> de -|- 4
com --> outro -|- 4
com --> força -|- 4
com --> elles -|- 4
com --> alguma -|- 4
com --> Capitú -|- 4
claro --> que -|- 4
claro --> e -|- 4
clara --> e -|- 4
cima --> da -|- 4
casa --> em -|- 4
calado --> e -|- 4
by --> U.S -|- 4
bom --> que -|- 4
atraz --> da -|- 4
as --> virtudes -|- 4
as --> noites -|- 4
as --> lagrimas -|- 4
as --> de -|- 4
ao --> que -|- 4
ao --> pae -|- 4
ao --> ceu -|- 4
antes --> do -|- 4
antes --> da -|- 4
annos --> e -|- 4
ainda --> uma -|- 4
ainda --> não -|- 4
agora --> mais -|- 4
agora --> a -|- 4
afim --> de -|- 4
accrescentou --> que -|- 4
a --> vista -|- 4
a --> vaidade -|- 4
a --> ultima -|- 4
a --> testa -|- 4
a --> terra -|- 4
a --> tempo -|- 4
a --> somma -|- 4
a --> sala -|- 4
a --> resposta -|- 4
a --> refund -|- 4
a --> questão -|- 4
a --> proposito -|- 4
a --> penna -|- 4
a --> outros -|- 4
a --> natureza -|- 4
a --> melhor -|- 4
a --> graça -|- 4
a --> figura -|- 4
a --> fazer -|- 4
a --> escrever -|- 4
a --> emoção -|- 4
a --> differença -|- 4
a --> da -|- 4
a --> causa -|- 4
a --> bordo -|- 4
a --> alguem -|- 4
a --> Project -|- 4
a --> Ezequiel -|- 4
You --> may -|- 4
Você --> não -|- 4
Tudo --> isso -|- 4
Sancha --> que -|- 4
Quando --> me -|- 4
Póde --> ser -|- 4
Passeio --> Publico -|- 4
Olhos --> de -|- 4
O --> resto -|- 4
O --> meu -|- 4
Não --> houve -|- 4
Na --> rua -|- 4
Gutenberg-tm --> works -|- 4
Gutenberg-tm --> work -|- 4
Era --> a -|- 4
Então --> eu -|- 4
Em --> verdade -|- 4
Em --> casa -|- 4
E --> se -|- 4
E --> como -|- 4
Deus --> que -|- 4
De --> resto -|- 4
Cosme --> que -|- 4
Capitú --> era -|- 4
A --> vocação -|- 4
A --> vida -|- 4
A --> primeira -|- 4
 --> You -|- 4
e --> eu -|- 39
se --> não -|- 38
que --> as -|- 38
o --> mesmo -|- 37
para --> mim -|- 36
é --> a -|- 35
era --> a -|- 35
uma --> vez -|- 34
os --> seus -|- 34
em --> casa -|- 34
como --> a -|- 34
um --> dia -|- 33
depois --> de -|- 33
com --> os -|- 33
a --> cabeça -|- 33
todos --> os -|- 32
não --> sei -|- 32
mas --> o -|- 32
de --> ser -|- 32
a --> casa -|- 32
tio --> Cosme -|- 31
prima --> Justina -|- 31
de --> Escobar -|- 31
todas --> as -|- 30
e --> os -|- 30
a --> mim -|- 30
é --> tempo -|- 3
é --> porque -|- 3
é --> não -|- 3
é --> isso -|- 3
é --> cousa -|- 3
é --> claro -|- 3
ás --> tardes -|- 3
á --> vida -|- 3
á --> sua -|- 3
á --> parede -|- 3
Ás --> vezes -|- 3
you --> do -|- 3
você --> tem -|- 3
você --> que -|- 3
vocação --> ecclesiastica -|- 3
via --> o -|- 3
vi --> a -|- 3
vez --> as -|- 3
verso --> e -|- 3
verdade --> que -|- 3
verdade --> mas -|- 3
veiu --> ter -|- 3
vacca --> de -|- 3
uso --> do -|- 3
uns --> olhos -|- 3
uma --> voz -|- 3
uma --> viagem -|- 3
uma --> parte -|- 3
uma --> febre -|- 3
uma --> e -|- 3
uma --> casa -|- 3
um --> vestido -|- 3
um --> sonho -|- 3
um --> simples -|- 3
um --> projecto -|- 3
um --> preto -|- 3
um --> pedaço -|- 3
um --> defuncto -|- 3
um --> de -|- 3
um --> canto -|- 3
um --> amigo -|- 3
tão --> contente -|- 3
tudo --> me -|- 3
tudo --> mas -|- 3
tres --> ou -|- 3
trepadas --> no -|- 3
trem --> da -|- 3
trazia --> a -|- 3
tornou --> a -|- 3
todo --> e -|- 3
todo --> caso -|- 3
to --> you -|- 3
tive --> de -|- 3
tinha --> uma -|- 3
tinha --> um -|- 3
this --> eBook -|- 3
the --> use -|- 3
the --> phrase -|- 3
tempo --> que -|- 3
tempo --> em -|- 3
tem --> medo -|- 3
tem --> boa -|- 3
teimava --> em -|- 3
tarde --> e -|- 3
tarde --> de -|- 3
tanto --> de -|- 3
tambem --> que -|- 3
tambem --> com -|- 3
só --> uma -|- 3
só --> se -|- 3
só --> que -|- 3
só --> as -|- 3
sorte --> grande -|- 3
sorriu --> e -|- 3
sol --> e -|- 3
signal --> que -|- 3
seus --> olhos -|- 3
ser --> um -|- 3
sentido --> de -|- 3
senti --> que -|- 3
sem --> ser -|- 3
sem --> se -|- 3
sem --> falta -|- 3
sei --> como -|- 3
se --> é -|- 3
se --> quizesse -|- 3
se --> pudesse -|- 3
se --> as -|- 3
sapatos --> de -|- 3
santos --> oleos -|- 3
sala --> e -|- 3
sabia --> que -|- 3
saber --> a -|- 3
sabe --> se -|- 3
resto --> da -|- 3
receio --> de -|- 3
que --> vae -|- 3
que --> tivesse -|- 3
que --> tenho -|- 3
que --> tenha -|- 3
que --> sua -|- 3
que --> quizesse -|- 3
que --> outra -|- 3
que --> nenhum -|- 3
que --> iam -|- 3
que --> fizesse -|- 3
que --> devia -|- 3
que --> cada -|- 3
que --> até -|- 3
quatorze --> annos -|- 3
quarenta --> annos -|- 3
quando --> os -|- 3
quando --> não -|- 3
quando --> lhe -|- 3
quando --> em -|- 3
póde --> ir -|- 3
pé --> da -|- 3
provide --> a -|- 3
provavelmente --> não -|- 3
promessa --> a -|- 3
preciso --> dizer -|- 3
pouco --> e -|- 3
pouco --> depois -|- 3
posso --> ser -|- 3
porta --> e -|- 3
porta --> do -|- 3
porta --> de -|- 3
porque --> ella -|- 3
por --> uma -|- 3
por --> tudo -|- 3
por --> palavras -|- 3
por --> muito -|- 3
por --> força -|- 3
por --> estar -|- 3
por --> esta -|- 3
por --> elles -|- 3
podia --> deixar -|- 3
poder --> de -|- 3
phrase --> Project -|- 3
photographia --> de -|- 3
pessoas --> e -|- 3
perto --> da -|- 3
peralta --> da -|- 3
penteado --> e -|- 3
penna --> e -|- 3
pela --> vida -|- 3
pedaço --> de -|- 3
passo --> que -|- 3
parte --> do -|- 3
parte --> da -|- 3
part --> of -|- 3
para --> todos -|- 3
para --> me -|- 3
para --> dizer -|- 3
para --> cima -|- 3
para --> Capitú -|- 3
papel --> e -|- 3
palavras --> do -|- 3
palavras --> com -|- 3
padre-nossos --> e -|- 3
padre --> é -|- 3
ouvi --> que -|- 3
outros --> que -|- 3
outro --> mas -|- 3
outro --> lado -|- 3
outro --> capitulo -|- 3
outra --> pessoa -|- 3
outra --> ideia -|- 3
ou --> á -|- 3
ou --> mais -|- 3
ou --> eu -|- 3
ou --> duas -|- 3
os --> seminaristas -|- 3
os --> rapazes -|- 3
os --> quatro -|- 3
os --> pés -|- 3
os --> proprios -|- 3
